7zip 24.09-3
alacritty 0.15.0-1
amd-ucode 20250109.7673dffd-1
asciiquarium 1.1-7
base 3-2
base-devel 1-2
bash-completion 2.16.0-1
bash-pipes 1.3.0-9
bat 0.25.0-2
bc 1.08.1-1
bluez-utils 5.79-1
brightnessctl 0.5.1-3
btop 1.4.0-4
cage 0.2.0-2
chafa 1.14.5-1
cliphist 1:0.6.1-1
cmatrix 2.0-3
cowsay 3.8.4-1
cpufetch 1.06-3
dhcpcd 10.1.0-1
dunst 1.12.1-1
emacs 29.4-3
entr 5.6-1
eza 0.20.15-1
fastfetch 2.34.1-1
figlet 2.2.5-6
fuse2 2.9.9-5
fzf 0.57.0-1
git 2.48.1-1
glow 2.0.0-1
gptfdisk 1.0.10-1
grim 1.4.1-2
grub 2:2.12-3
gst-plugin-pipewire 1:1.2.7-1
gvfs 1.56.1-1
hexedit 1.6-2
htop 3.3.0-3
hypridle 0.1.5-3
hyprland-git 0.46.0.r52.1989b004-1
hyprlock-git 0.6.1.r16.g742eb98c-1
hyprpicker-git 0.4.1.r7.46d2f5a-1
hyprpolkitagent 0.1.2-3
hyprshot-git 1.3.0.r2.f95068d-1
irssi 1.4.5-4
iwd 3.3-1
jadx 1.5.0-1
kitty 0.39.0-1
kvantum 1.1.3-1
lib32-libglvnd 1.7.0-1
lib32-nvidia-utils 565.77-1
lib32-opencl-nvidia 565.77-1
libaio 0.3.113-3
libglvnd 1.7.0-1
librewolf-bin 134.0.1-1
linux 6.12.10.arch1-1
linux-firmware 20250109.7673dffd-1
linux-headers 6.12.10.arch1-1
lolcat 100.0.1-3
luarocks 3.11.1-2
macchina 6.4.0-2
man-db 2.13.0-1
man-pages 6.9.1-1
mariadb 11.6.2-2
marker 2023.05.02-1
materia-gtk-theme 20210322-3
mpv 1:0.39.0-4
nano 8.3-1
nano-syntax-highlighting 2022.11.02.r102.gbb94603-1
neofetch 7.1.0-2
neovim 0.10.3-1
net-tools 2.10-3
network-manager-applet 1.36.0-1
networkmanager 1.50.2-1
nnn 5.0-1
noto-fonts-emoji 1:2.047-1
npm 11.0.0-1
ntp 4.2.8.p18-2
nvidia-dkms 565.77-3
nvidia-settings 565.57.01-1
nvidia-utils 565.77-3
nvm 0.40.1-1
nwg-look 1.0.2-1
obsidian 1.7.7-1
opencl-nvidia 565.77-3
openssh 9.9p1-2
otf-aurulent-nerd 3.3.0-1
otf-codenewroman-nerd 3.3.0-1
otf-comicshanns-nerd 3.3.0-1
otf-commit-mono-nerd 3.3.0-1
otf-droid-nerd 3.3.0-1
